"id_genero";"nome_genero"
217;"Adventure,Drama"
218;"Action,Biography,Drama"
219;"Drama"
220;"Adventure,Biography,Drama"
221;"Drama,Romance"
222;"Adventure,Family,Fantasy"
223;"Drama"
224;"Comedy,Drama,Fantasy"
225;"Drama,Romance,War"
226;"Horror"
227;"Animation,Action,Adventure"
228;"Comedy,Romance,War"
229;"Crime,Drama"
230;"Drama,War"
231;"Action,Adventure,Fantasy"
232;"Biography,Drama,Family"
233;"Drama"
234;"Crime,Drama,Mystery"
235;"Drama,Family"
236;"Drama,Thriller"
237;"Drama,Film-Noir,Mystery"
238;"Crime,Drama"
239;"Drama,Romance,Thriller"
240;"Crime,Drama"
241;"Biography,Drama,Family"
242;"Comedy,Romance"
243;"Drama,Thriller"
244;"Comedy"
245;"Animation,Action,Adventure"
246;"Drama"
247;"Adventure,Biography,Drama"
248;"Animation,Adventure,Comedy"
249;"Biography,Drama,History"
250;"Adventure,Drama,Western"
